id,feedback,number_positive,positive_sentiment,number_negative,negative_sentiment,annotation,intention,total_lenght,negative_lengt,severity,similarity_score,total_score
131,Regarding the natural gas consumption you must consider that the gas also can be used for cooking. Otherwise the value of the heater is established too high.,0,0.0,2,-0.4,"<Participant name=""""><Sentence id=""57""><Suggestive freq=""1"">Regarding the natural gas consumption you must consider that the gas also can be used for cooking.</Suggestive><NEG_opinion freq=""1"">Regarding the natural gas consumption you must consider that the gas also can be used for cooking.</NEG_opinion><POS_opinion freq=""2"">Regarding the natural gas consumption you must consider that the gas also can be used for cooking.</POS_opinion></Sentence><Sentence id=""59""><POS_opinion freq=""2"">Otherwise the value of the heater is established too high.</POS_opinion></Sentence></Participant>",0.82,157,156,0.9936305732484076,0.26666666666666666,0.5903014861995753
274,"Dear Ladies and Gentlemen,
How can I import my mobility data?
The description of the CSV-Upload provides for only two or three input columns for the CSV-File. To import fuel invoices I need probably even more columns (time, milage, quantity, cost, a full tank (yes / no)) - or is still not possible to import fuel bills? For a reasonable consumption control makes but only the import of fuel bills sense. To import only the kilometer data is in that case completely irrelevant?
Perhaps a small comment to the household overview page: The comparison with the ""standard consumption"" declared by the manufacturer is also not very helpful. It would be more interesting to compare with vehicles of the same type / or engine - or with the vehicles of other households (regardless of type).
Best regards",0,0.0,6,-0.39999999999999997,"<Participant name=""""><Sentence id=""281""><Question freq=""1"">Dear Ladies and Gentlemen How can I import my mobility data?</Question></Sentence><Sentence id=""283""><Informative freq=""1"">The description of the CSV Upload provides for only two or three input columns for the CSV File.</Informative></Sentence><Sentence id=""285""><NEG_opinion freq=""1"">To import fuel invoices I need probably even more columns time milage quantity cost a full tank yes / no or is still not possible to import fuel bills?</NEG_opinion><POS_opinion freq=""4"">To import fuel invoices I need probably even more columns time milage quantity cost a full tank yes / no or is still not possible to import fuel bills?</POS_opinion></Sentence><Sentence id=""287""><POS_opinion freq=""2"">For a reasonable consumption control makes but only the import of fuel bills sense.</POS_opinion></Sentence><Sentence id=""289""><NEG_opinion freq=""1"">To import only the kilometer data is in that case completely irrelevant?</NEG_opinion></Sentence><Sentence id=""291""><NEG_opinion freq=""1"">Perhaps a small comment to the household overview page: The comparison with the standard consumption declared by the manufacturer is also not very helpful.</NEG_opinion><POS_opinion freq=""7"">Perhaps a small comment to the household overview page: The comparison with the standard consumption declared by the manufacturer is also not very helpful.</POS_opinion></Sentence><Sentence id=""293""><NEG_opinion freq=""2"">It would be more interesting to compare with vehicles of the same type / or engine or with the vehicles of other households regardless of type.</NEG_opinion><POS_opinion freq=""2"">It would be more interesting to compare with vehicles of the same type / or engine or with the vehicles of other households regardless of type.</POS_opinion></Sentence><Sentence id=""295""><Informative freq=""1"">Best regards</Informative></Sentence></Participant>",0.13,796,677,0.8505025125628141,0.25,0.3451256281407035
298,"Dear Ladies and Gentlemen,
I was pleased today to notice that the data input into the energy savings account has become much faster. Congratulations!
Hopefully no fluke. The previous data input was ""very slow"" in the reaction. This led in part to the repeated pressing of the save button because for a long time no feedback appears. For your team all good wishes for the year 2015.
Sincerely",1,0.4,4,-0.4,"<Participant name=""""><Sentence id=""143""><POS_opinion freq=""1"">Dear Ladies and Gentlemen I was pleased today to notice that the data input into the energy savings account has become much faster.</POS_opinion></Sentence><Sentence id=""145""><Informative freq=""1"">Congratulations!</Informative></Sentence><Sentence id=""147""><Informative freq=""1"">Hopefully no fluke.</Informative></Sentence><Sentence id=""149""><NEG_opinion freq=""3"">The previous data input was very slow in the reaction.</NEG_opinion><POS_opinion freq=""1"">The previous data input was very slow in the reaction.</POS_opinion></Sentence><Sentence id=""151""><NEG_opinion freq=""1"">This led in part to the repeated pressing of the save button because for a long time no feedback appears.</NEG_opinion></Sentence><Sentence id=""153""><POS_opinion freq=""1"">For your team all good wishes for the year 2015.</POS_opinion></Sentence><Sentence id=""155""><Informative freq=""1"">Sincerely</Informative></Sentence></Participant>",0.0,391,309,0.7902813299232737,0.125,0.1987851662404092
112,"
Good Morning,
in my account on the heating side all meter readings are displayed with the date 06.12.2015. The trend and the consumption per month are calculated incorrectly.",1,0.4,1,-0.4,"<Participant name=""""><Sentence id=""64""><Informative freq=""1"">Good Morning in my account on the heating side all meter readings are displayed with the date 06.12.2015.</Informative></Sentence><Sentence id=""66""><Informative freq=""1"">The trend and the consumption per month are calculated incorrectly.</Informative></Sentence></Participant>",0.0,175,67,0.38285714285714284,0.25,0.2957142857142857
256,"Dear Ladies and Gentlemen,
Why the program calculates at less gasoline consumption per 100 kilometers, almost double the costs per 100 kilometers?",0,0.0,1,-0.4,"<Participant name=""""><Sentence id=""46""><NEG_opinion freq=""1"">Dear Ladies and Gentlemen Why the program calculates at less gasoline consumption per 100 kilometers almost double the costs per 100 kilometers?</NEG_opinion><POS_opinion freq=""2"">Dear Ladies and Gentlemen Why the program calculates at less gasoline consumption per 100 kilometers almost double the costs per 100 kilometers?</POS_opinion></Sentence></Participant>",0.0,146,144,0.9863013698630136,0.4,0.5545205479452054
113,"Hello,
in my engergy savings account the heating diagram do not shows the oil level input from 01.12.2015.
What should I do?
Best wishes",1,0.4,1,-0.4,"<Participant name=""""><Sentence id=""55""><NEG_opinion freq=""1"">Hello in my engergy savings account the heating diagram do not shows the oil level input from 01.12.2015.</NEG_opinion><POS_opinion freq=""1"">Hello in my engergy savings account the heating diagram do not shows the oil level input from 01.12.2015.</POS_opinion></Sentence><Sentence id=""57""><Question freq=""2"">What should I do?</Question></Sentence><Sentence id=""59""><Informative freq=""1"">Best wishes</Informative></Sentence></Participant>",0.13,136,105,0.7720588235294118,0.09523809523809523,0.16210084033613445
116,"We have installed a fuel cell 1 month ago. It would be nice if we could enter this heating system in your engergy saving account. 
It works similar to a photovoltaic system. Our plant produces 1.5 kWh of electricity continuously and 600 W thermal output. It Operates with natural gas.",2,0.4,1,-0.4,"<Participant name=""""><Sentence id=""108""><Informative freq=""1"">We have installed a fuel cell 1 month ago.</Informative></Sentence><Sentence id=""110""><Requirement freq=""1"">It would be nice if we could enter this heating system in your engergy saving account.</Requirement><POS_opinion freq=""2"">It would be nice if we could enter this heating system in your engergy saving account.</POS_opinion></Sentence><Sentence id=""112""><POS_opinion freq=""2"">It works similar to a photovoltaic system.</POS_opinion></Sentence><Sentence id=""114""><Informative freq=""1"">Our plant produces 1.5 kWh of electricity continuously and 600 W thermal output.</Informative></Sentence><Sentence id=""116""><NEG_opinion freq=""1"">It Operates with natural gas.</NEG_opinion></Sentence></Participant>",1.0,284,80,0.28169014084507044,0.13793103448275862,0.28712967459932004
239,"I can't deal with your ""energy savings account"", so I ask you to delete my registration with all the data.
With friendly greetings",1,0.4,1,-0.4,"<Participant name=""""><Sentence id=""50""><Requestive freq=""2"">I can not deal with your energy savings account so I ask you to delete my registration with all the data.</Requestive><NEG_opinion freq=""1"">I can not deal with your energy savings account so I ask you to delete my registration with all the data.</NEG_opinion><Assertive freq=""1"">I can not deal with your energy savings account so I ask you to delete my registration with all the data.</Assertive></Sentence><Sentence id=""52""><POS_opinion freq=""2"">With friendly greetings</POS_opinion></Sentence></Participant>",0.85,130,105,0.8076923076923077,0.14285714285714285,0.35109890109890113
119,"
Hello, 
I got today delivered heating oil and the supplier has filled a little more oil in the tank as mathematically possible. Unfortunately your program refuses to enter the actual charged amount when the maximum level has been exceeded. I think that an overfill to a certain extent should be possible because no limit monitor can be set precisely enough. 
Best regards",0,0.0,3,-0.4000000000000001,"<Participant name=""""><Sentence id=""129""><NEG_opinion freq=""1"">Hello I got today delivered heating oil and the supplier has filled a little more oil in the tank as mathematically possible.</NEG_opinion><Assertive freq=""1"">Hello I got today delivered heating oil and the supplier has filled a little more oil in the tank as mathematically possible.</Assertive><POS_opinion freq=""3"">Hello I got today delivered heating oil and the supplier has filled a little more oil in the tank as mathematically possible.</POS_opinion></Sentence><Sentence id=""131""><NEG_opinion freq=""1"">Unfortunately your program refuses to enter the actual charged amount when the maximum level has been exceeded.</NEG_opinion><Descriptive freq=""2"">Unfortunately your program refuses to enter the actual charged amount when the maximum level has been exceeded.</Descriptive><POS_opinion freq=""2"">Unfortunately your program refuses to enter the actual charged amount when the maximum level has been exceeded.</POS_opinion></Sentence><Sentence id=""133""><NEG_opinion freq=""1"">I think that an overfill to a certain extent should be possible because no limit monitor can be set precisely enough.</NEG_opinion><POS_opinion freq=""4"">I think that an overfill to a certain extent should be possible because no limit monitor can be set precisely enough.</POS_opinion><Suppositive freq=""2"">I think that an overfill to a certain extent should be possible because no limit monitor can be set precisely enough.</Suppositive></Sentence><Sentence id=""135""><Informative freq=""1"">Best regards</Informative></Sentence></Participant>",0.56,372,353,0.9489247311827957,0.22727272727272727,0.4338465298142718
219,"Dear Ladies and Gentlemen,
I'm just about to enter my current data of the recent years. I would like to enter a meter reading with the value 271, but I get the hint that only a value of 197 is plausible. But I have a meter reading value of 271. What can I do?

Sincerely",0,0.0,3,-0.4000000000000001,"<Participant name=""""><Sentence id=""117""><Informative freq=""1"">Dear Ladies and Gentlemen I am just about to enter my current data of the recent years.</Informative></Sentence><Sentence id=""119""><Requirement freq=""1"">I would like to enter a meter reading with the value 271 but I get the hint that only a value of 197 is plausible.</Requirement><Assertive freq=""1"">I would like to enter a meter reading with the value 271 but I get the hint that only a value of 197 is plausible.</Assertive><POS_opinion freq=""1"">I would like to enter a meter reading with the value 271 but I get the hint that only a value of 197 is plausible.</POS_opinion></Sentence><Sentence id=""121""><Assertive freq=""1"">But I have a meter reading value of 271.</Assertive></Sentence><Sentence id=""123""><Question freq=""2"">What can I do?</Question></Sentence><Sentence id=""125""><Informative freq=""1"">Sincerely</Informative></Sentence></Participant>",0.6625,270,241,0.8925925925925926,0.08,0.1564074074074074
